Exercise Name,MainMuscleGroup,DetailedMuscleGroup,OtherMuscleGroups,Type,Mechanics,Equipment,Difficulty,InstructionText,PIC_NO,Link
Bench Pushups,Glutes,,Upper Legs,Strength,Compound,Barbell,Intermediate,"Steps :
_x000D_
1.) Start off by standing up straight with your feet about shoulder width apart, holding a barbell across your upper back with hands wider than your shoulders.
_x000D_
2.) Then slowly take a short lateral step in one direction, bending at one knee until you feel a stretch in your thighs.
_x000D_
3.) Hold onto this position for a count then return back up to the starting position.
_x000D_
4.) Repeat for as many reps and sets as desired.","['2996', '2997']",https://www.jefit.com/exercises/1055/Bench-Pushups
Cable Standing Up Straight Crossovers,Triceps,,,Strength,Isolation,"Machine - Strength , Bench",Intermediate,"The cable incline triceps extension exercise uses cables to isolate and work the tricep muscles.
_x000D_
Steps : 
_x000D_
1.) Start off by placing an incline bench facing away from a cable pulley and attaching a short straight bar to the pulley, adjusting the height so that your arms can extend fully.
_x000D_
2.) Lie face up (back flat) on the bench and grasp the bar with a narrow overhand grip.
_x000D_
3.) Starting with your elbows bent overhead, slowly lower the bar towards your feet.
_x000D_
4.) Pause at the bottom and then return to starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.","['908', '909']",https://www.jefit.com/exercises/1056/Cable-Standing-Up-Straight-Crossovers
Cable Mid Chest Crossovers,Upper Legs,Calves,"Lower Legs , Glutes",Strength,Compound,Barbell,Intermediate,"The barbell single leg squat exercise is an advanced workout that works on strengthening the muscles in the body, improving the core strength and coordination.
_x000D_
Steps : 
_x000D_
1.) Start off by placing a barbell on your back above your shoulders with a wide grip.
_x000D_
2.) Cross the lower leg above the knee of your supporting leg (the leg you will squat with).
_x000D_
3.) Squat down as low as possible and hold for a count.
_x000D_
4.) Slowly return to an upright position straightening your hip and knee.
_x000D_
5.) Switch legs and repeat for as many reps and sets as desired.","['820', '821']",https://www.jefit.com/exercises/1057/Cable-Mid-Chest-Crossovers
Cable Upper Chest Crossovers,Biceps,,Forearm,Strength,Isolation,"Machine - Strength , Bench",Beginner,"The lying bicep cable curl exercise isolate the muscles of your biceps without standing or sitting.
_x000D_
Steps : 
_x000D_
1.) Start off by attaching a short bar to a cable pulley set on the lowest setting and lie down on a mat or the floor with your feet touching the weight stack.
_x000D_
2.) Grasp the bar with and underhand grip (palms facing up), and with your arms fully extended and your elbows at your sides, pull the bar in an arc to your chest.
_x000D_
3.) Hold for a count by contracting your biceps, and then return to the starting position.
_x000D_
4.) Repeat for as many reps and sets as desired.","['1044', '1045']",https://www.jefit.com/exercises/1058/Cable-Upper-Chest-Crossovers
Cable Lower Chest Raise,Shoulders,,Triceps,Strength,Compound,"Barbell , Bench",Beginner,"Steps :
_x000D_
1.) Start off seated at either the end of a flat bench or bench press set-up with your feet on the floor in front of you, holding a weighted dumbbell in front of your chest at shoulder level.
_x000D_
2.) Slowly elevate the barbell up and above your head, squeezing your shoulders on the push up, and hold for a count.
_x000D_
3.) Return back to the starting position.
_x000D_
4.) Repeat for as many reps and sets as desired.","['4572', '4573']",https://www.jefit.com/exercises/1059/Cable-Lower-Chest-Raise
Cable Inner Chest Press,Shoulders,Traps,"Chest , Biceps",Stretching,,Barbell,Beginner,"Steps : 
_x000D_
1.) To begin this exercise; start off standing up straight holding a barbell, with palms up towards the ceiling, behind your back.
_x000D_
2.) Keep the barbell positioned behind your hips and then slowly lift your arms up so that they are behind your head.
_x000D_
3.) Return back to the starting position.
_x000D_
4.) Repeat this exercise for as many repetitions as needed.","['1772', '1773']",https://www.jefit.com/exercises/1060/Cable-Inner-Chest-Press
Deep Push Up,Biceps,Traps,Forearm,Strength,Isolation,Machine,Beginner,"The hammer curls with a rope exercise a great exercise that uses a rope with a cable machine to isolate the biceps and build bigger arms.
_x000D_
Steps : 
_x000D_
1.) Start off by attaching a rope to a cable pulley to the bottom of the weight stack and stand in front of the machine with your feet shoulder width apart, your knees slightly bent and your abs drawn in.
_x000D_
2.) Grab the rope with a close underhand grip (palms facing up).
_x000D_
3.) Lower your arms fully to above your thighs and bending only your elbows, raise the rope to your upper chest.
_x000D_
4.) Hold for a count, squeezing the biceps and then return to the starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.","['1028', '1029']",https://www.jefit.com/exercises/1061/Deep-Push-Up
Cable Rope Extension Lying Pullover,Biceps,,Forearm,Strength,Isolation,Machine,Beginner,"The bicep curl machine exercise uses a machine to isolate and target the bicep muscle
_x000D_
Steps : 
_x000D_
1.) Start off by adjusting the seat of the machine so your elbows are correctly aligned with the rotation axis.
_x000D_
2.) Press your arms against the pads and keep them stationary throughout the exercise.
_x000D_
3.) Curls your forearms until your arms are fully flexed and squeeze your bicep, isolating the muscle.
_x000D_
4.) Hold for a count and then slowly lower your arms back to the starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.","['1084', '1085']",https://www.jefit.com/exercises/1062/Cable-Rope-Extension-Lying-Pullover
Dumbbell Palms In Bench Press,Biceps,,,Strength,Isolation,Dumbbell,Beginner,"The gammer curl exercise uses a hammering (up and down) motion to isolate the bicep and increase muscle size.
_x000D_
Steps :
_x000D_
1.) Start off standing with your feet shoulder-width apart, keeping your knees slightly bent and your abs tight in.
_x000D_
2.) Grab a dumbbell in each hand with your palms facing in, extend your arms so that they are at the sides of your body and keep your elbows locked as this will be your starting position.
_x000D_
3.) Slowly lift your arms up in an arc towards your shoulders, isolating your biceps and continue until you reach the top position.
_x000D_
4.) Hold for a count then return back to the starting position and repeat for as many reps and sets as desired.
_x000D_
Tips : 
_x000D_
1.) Refrain from turning your wrists during this exercise.","['432', '433']",https://www.jefit.com/exercises/1064/Dumbbell-Palms-In-Bench-Press
Dumbbell Palms In Incline Bench Press,Biceps,,Shoulders,Strength,Compound,Dumbbell,Beginner,"Steps :
_x000D_
1.) Stand up straight with a dumbbell in each hand, keeping feet about shoulder width apart, bringing your arms up to shoulder level and extend out in a ""T"" shape.
_x000D_
2.) Then slowly curl your biceps so that the dumbbells are brought to your head, isolating the muscle, and keeping your arms at shoulder level during the entire motion.
_x000D_
3.) Hold this position for a count then return back to the starting position.
_x000D_
4.) Repeat for as many reps and sets as desired.","['2824', '2825']",https://www.jefit.com/exercises/1065/Dumbbell-Palms-In-Incline-Bench-Press
Dumbbell Reverse Bench Press,Triceps,,,Strength,Isolation,"Bench , Dumbbell",Beginner,"Steps :
_x000D_
1.) Start off sitting your back flat on an incline bench with your feet on the floor in front of you, holding a dumbbell on your legs.
_x000D_
2.) Elevate the weight above your head as this will be your starting position.
_x000D_
3.) Slowly lower the dumbbell behind your head as far as possible by extending both arms and squeeze your triceps.
_x000D_
4.) Hold for a count then return back to the starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.","['4700', '4701']",https://www.jefit.com/exercises/1066/Dumbbell-Reverse-Bench-Press
Barbell Reverse Grip Incline Bench Press,Glutes,Calves,"Lower Legs , Upper Legs",Powerlifting,Compound,"Bands , Weight Plate",Beginner,"Steps : 
_x000D_
1.) To begin this exercise; take a band and secure it underneath two dumbbells so that they wont move.
_x000D_
2.) Move your body so that your hips are right under the bands and set up for a basic sit up position with your knees up and feet firm on the floor. 
_x000D_
3.) Keep your hands extended behind your head.
_x000D_
4.) Push your shoulders to the floor as you raise your hips and extend the band as high as possible. 
_x000D_
5.) Hold onto the position for a few seconds and return to the start.
_x000D_
6.) Repeat this exercise for as many repetitions as needed.","['1552', '1553']",https://www.jefit.com/exercises/1067/Barbell-Reverse-Grip-Incline-Bench-Press
Barbell Reverse Grip Decline Bench Press,Upper Legs,Hamstrings,Glutes,Strength,Compound,Bands,Beginner,"Steps : 
_x000D_
1.) To begin this exercise; start off standing on a band, wrapping it around your neck and making sure that it is evenly distributed for stretching in each arm.
_x000D_
2.) Bend at the knees and extend down with your hips then straighten out your legs and come to a vertical position.
_x000D_
3.) Repeat this exercise for as many repetitions as needed","['1864', '1865']",https://www.jefit.com/exercises/1068/Barbell-Reverse-Grip-Decline-Bench-Press
Smith Machine Reverse Grip Bench Press,Chest,,"Shoulders , Triceps",Strength,Compound,"Machine - Strength , Bench",Intermediate,"Steps :
_x000D_
1.) Start off setting up a smith machine with the amount of weight that you want to perform and placing a flat bench underneath the bar, centering it out for the exercise.
_x000D_
2.) Grab the bar with an underhand reverse shoulder width grip, then unload the bar from the rack and elevate it above your chest.
_x000D_
3.) Slowly lower the bar towards your chest so that it is barely touching and hold for a count.
_x000D_
4.) Return back to the starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.","['5228', '5229']",https://www.jefit.com/exercises/1069/Smith-Machine-Reverse-Grip-Bench-Press
Smith Machine Reverse Grip Incline Bench Press,Chest,,"Shoulders , Triceps",Strength,Compound,Machine,Intermediate,"Steps :
_x000D_
1.) Start off setting up a smith machine with the amount of weight that you want to perform and placing a incline bench underneath the bar, centering it out for the exercise.
_x000D_
2.) Grab the bar with an underhand reverse shoulder width grip, then unload the bar from the rack and elevate it above your chest.
_x000D_
3.) Slowly lower the bar towards your chest so that it is barely touching and hold for a count.
_x000D_
4.) Return back to the starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.","['4280', '4281']",https://www.jefit.com/exercises/1070/Smith-Machine-Reverse-Grip-Incline-Bench-Press
Barbell Wide Reverse Grip Bench Press,Chest,Upper Chest,"Triceps , Shoulders",Strength,Compound,"Barbell , Machine - Strength",Beginner,"The barbell incline bench press is a variation of the bench press exercise that targets your upper chest by using an incline bench with an incline angle.
_x000D_
Steps :
_x000D_
1.) Start off setting up your incline bench to a 45 degree angle or use a pre-designed incline bench press bench.
_x000D_
2.) Then lie flat on your back on the bench with your feet firmly planted on the floor gripping the barbell with a slightly wider than shoulder-width apart.
_x000D_
3.) Lift the bar off of the rack and hold it right above your chest as this will be your starting position.
_x000D_
4.) Slowly lower the bar until it almost touches you and you feel a stretch in your chest, and hold the position for a count.
_x000D_
5.) Return back up to the starting position and repeat for as many reps and sets as desired.
_x000D_
Tips :
_x000D_
1.) Do not lock your elbows when you are in the starting position and make sure that you use a slow controlled motion without touching your chest while performing this exercise.","['32', '33']",https://www.jefit.com/exercises/1072/Barbell-Wide-Reverse-Grip-Bench-Press
Dumbbell Reverse Preacher Curl,Upper Legs,Hamstrings,"Biceps , Glutes",Strength,Compound,Dumbbell,Intermediate,"The lateral lunge with a dumbbell bicep curl exercise is an advanced workout that combines a lateral lunge with a bicep curl
_x000D_
Steps : 
_x000D_
1.) Start off by grabbing a dumbbell in each hand with your palms facing up and standing up straight with your feet together, your back straight and your abs drawn in.
_x000D_
2.) Allow your arms to extend down fully in front of your thighs.
_x000D_
3.) While keeping your body straight, take a step sideways and then bend your waist and your knee into a lunge.
_x000D_
4.) As you go into the lunge curl your arms up towards your shoulders contracting your biceps, squeezing the muscle.
_x000D_
5.) Hold for a count and then return to starting position and switch legs.
_x000D_
6.) Repeat for as many reps and sets as desired.","['1120', '1121']",https://www.jefit.com/exercises/1073/Dumbbell-Reverse-Preacher-Curl
Barbell EZ Bar Reverse Grip Curl,Upper Legs,Hamstrings,"Back , Glutes",Olympic Weight Lifting,Compound,Barbell,Intermediate,"Steps : 
_x000D_
1.) To begin this exercise; start off with a weighted barbell right in front of your shins with an overhand grip. 
_x000D_
2.) Bend down at the knees with your back straight, chest out, head facing forward and pull up on the barbell with the driving force from your heels.
_x000D_
3.) As you lift the barbell up, keep your back straight and pull up.
_x000D_
4.) When the barbell crosses your knees, lift up with your torso until the bar has reached your hips and your knees are fully extended.
_x000D_
5.) Repeat this exercise for as many repetitions as needed","['1880', '1881']",https://www.jefit.com/exercises/1074/Barbell-EZ-Bar-Reverse-Grip-Curl
EZ Bar Reverse Grip Preacher Curl,Forearm,,Biceps,Strength,Isolation,"EZ Curl Bar , Machine - Strength",Beginner,"Steps :
_x000D_
1.) Start off sitting on a preacher bench and holding a weighted EZ Bar in your hands with arms rested on the pad.
_x000D_
2.) Slowly elevate the bar up towards your shoulders, squeezing your forearms and hold for a count.
_x000D_
3.) Return back to the starting position.
_x000D_
4.) Repeat for as many reps and sets as desired.","['4300', '4301']",https://www.jefit.com/exercises/1075/EZ-Bar-Reverse-Grip-Preacher-Curl
Dumbbell One Arm Wrist Curl Over Bench,Triceps,,"Upper Legs , Lower Legs",Strength,Compound,Dumbbell,Intermediate,Targeted Muscle Group,"['3116', '3117', '3118']",https://www.jefit.com/exercises/1076/Dumbbell-One-Arm-Wrist-Curl-Over-Bench
Dumbbell Neutral Wrist Curl Over Bench,Biceps,,,Strength,Isolation,"Bench , Dumbbell",Beginner,"Steps : 
_x000D_
1.) Start off setting up an incline bench to either a 30 or 45 degree angle and then sit with your back flat on the bench, with a dumbbell in each hand and feet flat on the floor.
_x000D_
2.) Hold the dumbbells in an neutral grip with your palms facing inward, then slowly lift one dumbbell up towards your shoulder, isolating the bicep and hold for a count.
_x000D_
3.) Return back to the starting position and repeat with the opposite arm.
_x000D_
4.) Repeat for as many reps and sets as desired.","['4036', '4037']",https://www.jefit.com/exercises/1077/Dumbbell-Neutral-Wrist-Curl-Over-Bench
Dumbbell One Arm Neutral Wrist Curl Over Bench,Shoulders,,Abs,Strength,Isolation,"Dumbbell , Exercise Ball",Intermediate,"Steps : 
_x000D_
1.) Start off by sitting straight up on an exercise ball with both feet together and each hand holding a dumbbell.
_x000D_
2.) Elevate one of the dumbbells to shoulder height, keeping the dumbbell straight during the entire motion then slowly return back to the starting position.
_x000D_
3.) Then alternate with the opposite arm with the dumbbell to shoulder level.
_x000D_
4.) Repeat for as many reps and sets as desired.","['2584', '2585']",https://www.jefit.com/exercises/1078/Dumbbell-One-Arm-Neutral-Wrist-Curl-Over-Bench
Dumbbell One Arm Reverse Preacher Curl,Biceps,,,Strength,Isolation,Dumbbell,Beginner,"The dumbbell bicep curl uses both arms at the same time to build stronger arms.
_x000D_
Steps :
_x000D_
1.) Start off standing up straight with your feet shoulder-width apart, abs tight, knees slightly bent and a dumbbell in each hand holding in a palms up grip.
_x000D_
2.) While holding the dumbbells extend your arms at the side of your body, then slowly lift your arms up towards your chest until your forearms touch your biceps.
_x000D_
3.) Isolate the bicep and hold this position for a count.
_x000D_
4.) Return back to the starting position and repeat for as many reps and sets as desired.
_x000D_
Tips :
_x000D_
1.) Refrain from swinging your arms during this exercise.","['400', '401']",https://www.jefit.com/exercises/1079/Dumbbell-One-Arm-Reverse-Preacher-Curl
Dumbbell One Arm Reverse Wrist Curl Over Bench,Biceps,,"Forearm , Upper Legs",Strength,Isolation,"Exercise Ball , Dumbbell",Intermediate,"The bicep curl on a stability ball with leg raised exercise is an advanced exercise that incorporates balance along with a bicep curl.
_x000D_
Steps : 
_x000D_
1.) Start off grabbing a dumbbell in each hand with a palms up grip.
_x000D_
2.) Place the top of one foot behind you on an exercise ball as if you were stretching your leg.
_x000D_
3.) While keeping your back straight and your abs drawn in, bring your arms down in front of your legs.
_x000D_
4.) Raise your arms up, curling and contracting your biceps, squeezing the muscle as much as possible.
_x000D_
5.) Lower your arms and return to starting position and switch legs.
_x000D_
6.) Repeat for as many reps and sets as desired.","['1124', '1125']",https://www.jefit.com/exercises/1080/Dumbbell-One-Arm-Reverse-Wrist-Curl-Over-Bench
Dumbbell One Arm Seated Wrist Curl,Back,Traps,"Lower Legs , Upper Legs",Strength,Compound,Dumbbell,Beginner,"The dumbbell deadlift exercise works and strengthens the lower back and leg muscles.
_x000D_
Steps : 
_x000D_
1.) Start off by grabbing 2 dumbbells with an overhand grip and stand with your feet shoulder width apart.
_x000D_
2.) Keeping your back straight bend at the waist, allow some bend in your knees.
_x000D_
3.) Straighten your back as you hold the dumbbells at arms length.
_x000D_
4.) Bend over again lowering the dumbbells to just above the floor.
_x000D_
5.) Return to starting position and repeat for as many reps and sets as desired.","['772', '773']",https://www.jefit.com/exercises/1081/Dumbbell-One-Arm-Seated-Wrist-Curl
Dumbbell One Arm Seated Neutral Wrist Curl,Biceps,,,Strength,Isolation,"Bench , Dumbbell",Beginner,"The dumbbell concentration curl exercise limits you range of motion and concentrates on isolating the bicep muscle.
_x000D_
Steps :
_x000D_
1.) Start off sitting on the end of a flat bench with your feet flat and your legs spread in a V position.
_x000D_
2.) Grab a dumbbell in one of your hands with a palms up grip, placing this arm in between your legs and up against your inner thigh just above your knee.
_x000D_
3.) Slowly curl the weight up towards your chest, squeezing your bicep on the motion upward and once you reach the top, hold the position for a count.
_x000D_
4.) Return back to the starting position and repeat for as many reps and sets as desired.
_x000D_
5.) Switch arms and repeat the same steps.","['428', '429']",https://www.jefit.com/exercises/1082/Dumbbell-One-Arm-Seated-Neutral-Wrist-Curl
Dumbbell One Arm Seated Reverse Wrist Curl,Biceps,,,Strength,Isolation,Dumbbell,Beginner,"The cross body hammer curl exercise targets the biceps using a cross motion rather than the standard curl.
_x000D_
Steps : 
_x000D_
1.) Start off standing up straight and grabbing a dumbbell in each hand with palms facing inward.
_x000D_
2.) While keeping your palms facing in, curl the dumbbell up towards the opposite shoulder, isolating the bicep and squeezing the muscle.
_x000D_
3.) Continue bringing the dumbbell up to touch the shoulder until you feel a stretch in your bicep and hold for a count.
_x000D_
4.) Return back to the starting position and repeat for as many reps and sets as desired.","['392', '393']",https://www.jefit.com/exercises/1083/Dumbbell-One-Arm-Seated-Reverse-Wrist-Curl
Cable Reverse Preacher Curl - Triceps,Triceps,Lower Chest,Chest,Strength,Isolation,Bench,Intermediate,"The bench dip exercise is one of the most basic and best workouts for building the triceps and bigger arms.
_x000D_
Steps :
_x000D_
1.) Start off by placing two benches parallel to each other 3-4 feet apart.
_x000D_
2.) Sit on one bench and place your feet on the edge of the other bench so that your legs are suspended between the two.
_x000D_
3.) Cross your feet for support, holding onto the bench with your hands for support and slowly lower body towards the floor by bending your elbows.
_x000D_
4.) Pause, hold for a count and then return to starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.","['916', '917']",https://www.jefit.com/exercises/1084/Cable-Reverse-Preacher-Curl
Dumbbell Reverse Concentration Curl,Upper Legs,Hamstrings,"Shoulders , Glutes",Strength,Compound,Dumbbell,Intermediate,"The iron cross exercise is an advanced workout that works and strengthens the whole body.
_x000D_
Steps : 
_x000D_
1.) Start off gripping a dumbbell in each hand, and stand in a low squat stance with your feet shoulder-width apart and arms held out in front of you with your palms facing in.
_x000D_
2.) Standing upright, move your arms out and away from your body forming a T or cross position.
_x000D_
3.) Hold for a count then return back to the starting position.
_x000D_
4.) Repeat for as many reps and sets as desired.
_x000D_
Tips : 
_x000D_
1.) Do this exercise with light weights until you are comfortable with the motion.","['840', '841']",https://www.jefit.com/exercises/1085/Dumbbell-Reverse-Concentration-Curl
Barbell Reverse Wrist Curl Over Bench,Shoulders,,"Abs , Back",Strength,Isolation,"Bands , Exercise Ball",Intermediate,"Steps :
_x000D_
1.) Start off by sitting on an exercise ball that is placed on top of a stretched band with a grip held in each hand and keeping your feet flat on the floor.
_x000D_
2.) When balanced slowly press the bands upward so that they are elevated over your head and hold this position for a count and return back to the start.
_x000D_
3.) Repeat for as many reps and sets as desired.","['2644', '2645']",https://www.jefit.com/exercises/1086/Barbell-Reverse-Wrist-Curl-Over-Bench
Dumbbell Reverse Wrist Curl Over Bench,Shoulders,,,Strength,Isolation,"Dumbbell , Exercise Ball",Intermediate,"Steps :
_x000D_
1.) Start off by sitting upright on an exercise ball, holding a dumbbell in each hand hanging down by your sides.
_x000D_
2.) Then laterally lift up both arms to about shoulder height, feeling tension in your shoulders and hold for a count.
_x000D_
3.) Return back to the starting position and repeat for as many reps and sets as desired.","['3012', '3013']",https://www.jefit.com/exercises/1087/Dumbbell-Reverse-Wrist-Curl-Over-Bench
Cable Reverse Grip Curl,Chest,Lower Chest,"Shoulders , Triceps",Strength,Compound,"Barbell , Bench",Intermediate,"The barbell wide grip decline pullover is an advanced exercise to target the pectoral muscles and build a wider and stronger chest..
_x000D_
Steps :
_x000D_
1.) Start off lying on a decline bench with your feet higher than your head.
_x000D_
2.) Grab onto a barbell with an extra wide grip (hands near the plates) and then from your upper thighs, raise the barbell in an arc over your head towards the floor.
_x000D_
3.) Continue until you feel a stretch in your chest muscles and then hold the position for a count.
_x000D_
4.) Return back to the starting position and repeat for as many reps and sets as desired.
_x000D_
Tips :
_x000D_
1.) Squeeze the bar as though you were pushing both ends together as this will give an additional muscle contraction.
_x000D_
2.) Do not go beyond a normal range of motion","['672', '673']",https://www.jefit.com/exercises/1088/Cable-Reverse-Grip-Curl
Cable Seated Reverse Grip Wrist Curl,Chest,Inner Chest,"Biceps , Shoulders",Strength,Isolation,Machine,Beginner,"If you want to target your inner chest, the cable crossover is a great exercise to achieve the results you are looking for as long as you have two cable machines facing each other.
_x000D_
Steps : 
_x000D_
1.) Start off by attaching handles to the cable machines at a high pulley level.
_x000D_
2.) Position yourself in between both of the machines with your legs slightly bent.
_x000D_
3.) Grab onto the handles of the pulleys with your palms facing down and your arms extended out to your sides.
_x000D_
4.) Then slowly pull the handles down towards the floor until they either touch or cross over in front of you, feeling a stretch and squeeze in your muscles.
_x000D_
5.) Hold this position for a count then return back to the starting position.
_x000D_
Tips : 
_x000D_
1.) During the performing of this exercise, squeeze and contract your pec muscles to make this exercise even more effective.","['56', '57']",https://www.jefit.com/exercises/1089/Cable-Seated-Reverse-Grip-Wrist-Curl
Cable Reverse One Arm Curl,Upper Legs,Hamstrings,"Lower Legs , Glutes",Strength,Compound,Barbell,Expert,"Steps :
_x000D_
1.) To begin this exercise; start off by taking a weighted barbell and resting it on the top of your arm that is located between your forearm and upper arm.
_x000D_
2.) Take the bar and make sure that it is resting upon your forearms, cross your arms and clasp your hands against your chest to secure the barbell.
_x000D_
3.) Then lower the bar and lower your body down by the knees as in a regular squat until your upper legs and your knees form a 90-degree angle and hold onto this position for a few seconds.
_x000D_
4.) Return back to the starting position.
_x000D_
5.) Repeat this exercise for as many repetitions as needed","['1992', '1993']",https://www.jefit.com/exercises/1090/Cable-Reverse-One-Arm-Curl
Dumbbell Seated Neutral Wrist Curl,Forearm,,,Strength,Isolation,"Bench , Dumbbell",Beginner,"Steps :
_x000D_
1.) Start off kneeling in front of a horizontal bench with your forearms rested upon the padding and holding a dumbbell in both hands with a neutral grip.
_x000D_
2.) Slowly lower the dumbbell down below the bench as far as possible squeezing your forearms and hold for a count.
_x000D_
3.) Then return back to the starting position.
_x000D_
4.) Repeat for as many reps and sets as desired.","['4308', '4309']",https://www.jefit.com/exercises/1091/Dumbbell-Seated-Neutral-Wrist-Curl
Barbell Seated Reverse Wrist Curl,Biceps,Traps,Back,Strength,Compound,"Machine - Strength , Barbell",Beginner,"The body row exercise is a great overall exercise for the chest, back and core muscles and you should use either a smith machine or stable weight rack to perform this exercise.
_x000D_
Steps : 
_x000D_
1.) Lie under a bar so that the bar is at mid chest level and your feet are firmly on the floor.
_x000D_
1.) Start off lying under a bar so that it is aligned at mid chest level and your feet are positioned firmly on the floor in front of you.
_x000D_
2.) While keeping your abs drawn tightly in and your back flat, use your arms and row your body up towards the bar until you start to feel a stretch in your chest.
_x000D_
3.) Hold this position for a count then slowly return back to the start in a controlled motion.
_x000D_
4.) Repeat for as many reps and sets as desired.
_x000D_
Tips :
_x000D_
1.) Make sure that the rack or the smith machine is stable before you perform the exercise.","['720', '721']",https://www.jefit.com/exercises/1092/Barbell-Seated-Reverse-Wrist-Curl
Dumbbell Seated Reverse Wrist Curl,Chest,,,Strength,Isolation,"Dumbbell , Bench",Intermediate,"Steps : 
_x000D_
1.) Start off by laying down on an flat bench with your feet flat on the floor and holding a dumbbell in one hand in a hammer grip position with arm extended straight over your chest.
_x000D_
2.) Then slowly lower your arm until it is at about shoulder, keeping a 90 degree angle in your arm until you feel tension in your chest.
_x000D_
3.) Hold this position for a count then return back to the starting position.
_x000D_
4.) Repeat for as many reps and sets as desired.","['2868', '2869']",https://www.jefit.com/exercises/1093/Dumbbell-Seated-Reverse-Wrist-Curl
Smith Machine Seated Wrist Curl,Forearm,,,Strength,Isolation,"Bench , Machine - Strength",Beginner,"Steps :
_x000D_
1.) Start off sitting down at the end of a flat bench positioned behind a weighted smith machine, grabbing it with an underhand shoulder width grip.
_x000D_
2.) Keep your elbows at your side and slowly lower the weight below your legs, squeezing your forearms, and hold for a count.
_x000D_
3.) Return back to the starting position.
_x000D_
4.) Repeat for as many reps and sets as desired.","['4376', '4377']",https://www.jefit.com/exercises/1094/Smith-Machine-Seated-Wrist-Curl
Dumbbell Standing Alternate Reverse Curl,Shoulders,,,Strength,Compound,"Bench , Dumbbell",Intermediate,"Steps :
_x000D_
1.) Start off seated on the end of a flat bench with feet on the floor in front of you holding a dumbbell in one hand.
_x000D_
2.) Slowly, while using your thighs, raise the dumbbell to shoulder height and twist your palm so that it is facing in towards your body.
_x000D_
3.) From there raise the dumbbell above your head, squeezing your shoulder, and hold for a count.
_x000D_
4.) Return back to the starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.","['4492', '4493']",https://www.jefit.com/exercises/1095/Dumbbell-Standing-Alternate-Reverse-Curl
Cable Standing Reverse Curl - Chest - Intermediate,Chest,,"Abs , Glutes",Strength,Compound,"Exercise Ball , Machine - Strength",Intermediate,"Steps :
_x000D_
1.) Start off setting up handles on two low pulley cable machines and placing an exercise ball in between the machines.
_x000D_
2.) Grab onto the handles with a neutral, hammer grip, and sit down on the ball.
_x000D_
3.) Slowly walk your feet out in front of you so that your legs are extended out in front of you with knees bent and your back positioned on the middle of the ball.
_x000D_
4.) Raise the handles above your chest as this will be your starting position.
_x000D_
5.) Slowly lower the handles down to your sides, feeling a stretch in your chest and hold for a count.
_x000D_
6.) Return back up to the starting position and squeeze.
_x000D_
7.) Repeat for as many reps and sets as desired.","['5136', '5137']",https://www.jefit.com/exercises/1096/Cable-Standing-Reverse-Curl
Cable Standing Behind the Back Wrist Curl,Back,Lats,Shoulders,Strength,Compound,"Machine - Strength , Weight Plate",Intermediate,"Steps :
_x000D_
1.) Start off taking an elevated platform and placing it on top of the bench for a cable row machine.
_x000D_
2.) Sit down on the bench placing your feet on the foot rests in front of you, keeping your knees slightly bent and then lean slightly to grab the handle to perform the exercise.
_x000D_
3.) Slowly extend your arms and elbows back pulling the handle towards your lower chest, feeling a stretch within your lats and lower back.
_x000D_
4.) Hold this position for a count then return back to the starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.","['3264', '3265']",https://www.jefit.com/exercises/1097/Cable-Standing-Behind-the-Back-Wrist-Curl
Dumbbell Standing Reverse Curl,Shoulders,,,Strength,Isolation,Dumbbell,Beginner,"Steps :
_x000D_
1.) Start off standing up straight with your feet shoulder width apart and holding a dumbbell in one hand at your side.
_x000D_
2.) Slowly elevate your arm up in front of you to about head level, feeling a stretch in your shoulders and squeeze, and hold for a count.
_x000D_
3.) Return back to the starting position.
_x000D_
4.) Repeat for as many reps and sets as desired.","['4412', '4413']",https://www.jefit.com/exercises/1098/Dumbbell-Standing-Reverse-Curl
Dumbbell Standing One Arm Reverse Curl,Forearm,,,Strength,Isolation,"Bench , Dumbbell",Beginner,"Steps :
_x000D_
1.) Start off sitting on the end of a flat bench with your feet flat on the floor and holding a dumbbell in one hand using an underhand grip.
_x000D_
2.) Rest the arm holding the dumbbell on the same leg so the weight is extended off.
_x000D_
3.) Slowly lower the weight down below your leg, squeeze using your forearm and hold for a count.
_x000D_
4.) Return back to the starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.","['1528', '1529']",https://www.jefit.com/exercises/1099/Dumbbell-Standing-One-Arm-Reverse-Curl
